label,start,end
Jan 2025,2024-12-29,2025-01-25
Feb 2025,2025-01-26,2025-03-01
Mar 2025,2025-03-02,2025-03-29
Apr 2025,2025-03-30,2025-04-26
May 2025,2025-04-27,2025-05-31
Jun 2025,2025-06-01,2025-06-28
Jul 2025,2025-06-29,2025-07-26
Aug 2025,2025-07-27,2025-08-30
Sep 2025,2025-08-31,2025-09-27
Oct 2025,2025-09-28,2025-10-25
Nov 2025,2025-10-26,2025-11-29
Dec 2025,2025-11-30,2026-01-03
Jan 2026,2026-01-04,2026-01-31
Feb 2026,2026-02-01,2026-03-07
Mar 2026,2026-03-08,2026-04-04
Apr 2026,2026-04-05,2026-05-02
May 2026,2026-05-03,2026-06-06
Jun 2026,2026-06-07,2026-07-04
Jul 2026,2026-07-05,2026-08-01
Aug 2026,2026-08-02,2026-09-05
Sep 2026,2026-09-06,2026-10-03
